商業名稱,負責人,商業所在地,設立時間,登記項目,year,section.y,
增進財彩券行,陳囿任,臺北市萬華區康定路292號,102/11/01,制之業務4020公益彩券經銷業,2013,康定路,
晉寶屋運動彩券行,郭旭展,臺北市萬華區康定路292號1樓,102/11/05,8021運動彩券經銷業,2013,康定路,
金源寶運動彩券行,林鎮忠,臺北市萬華區漢中街169號1樓,102/11/05,8021運動彩券經銷業,2013,漢中街,
倍樂商行,簡啟仁,臺北市萬華區中華路1段18巷33號(1樓),102/11/06,制之業務文教、樂器、育樂用品批發業,2013,中華路1段,
福鈺食堂,林金鐘,臺北市萬華區漢中街109之2號1樓,102/11/08,制之業務餐館業,2013,漢中街,
寶屋企業社,曹銘容,臺北市萬華區西寧南路186號1樓,102/11/11,制之業務4020公益彩券經銷業,2013,西寧南路,
雨傘大王商行,劉明忠,臺北市萬華區武昌街2段56號,102/11/12,制之業務布疋、衣著、鞋、帽、傘、服飾品批發,2013,武昌街2段,
天天來彩券行,張佩玲,臺北市萬華區昆明街105號,102/11/14,文教、樂器、育樂用品批發業4020公益彩券經銷業,2013,昆明街,
大金塊投注站,楊子賢,臺北市萬華區康定路257號(1樓),102/11/15,資料處理服務業8021運動彩券經銷業,2013,康定路,
沛群飲料店,呂春萍,臺北市萬華區成都路53號1樓,102/11/18,制之業務食品什貨、飲料零售業,2013,成都路,
揚發彩券行,郭春月,臺北市萬華區康定路213號(1樓),102/11/19,4020公益彩券經銷業,2013,康定路,
西門靖小吃店,鄭子靖,臺北市萬華區武昌街2段122號,102/11/21,制之業務餐館業,2013,武昌街2段,
狀元投注站,?錫龍,臺北市萬華區昆明街270號,102/11/21,藝文服務業4020公益彩券經銷業,2013,昆明街,
安億存彩券行,王蘇生,臺北市萬華區漢中街169號,102/11/26,業4020公益彩券經銷業,2013,漢中街,
加減乘除服飾店,吳漢哲,臺北市萬華區西寧南路72-1號(1樓18室),102/11/27,飲料店業布疋、衣著、鞋、帽、傘、服飾品零售,2013,西寧南路,
萬事如億彩券行,林金勳,臺北市萬華區西寧南路36之87號,102/11/27,制之業務4020公益彩券經銷業,2013,西寧南路,
艾提精品坊,黃夙吟,臺北市萬華區武昌街2段56號,102/12/03,布疋、衣著、鞋、帽、傘、服飾品零售,2013,武昌街2段,
雙囍甜點坊,永婉婷,臺北市萬華區成都路117號1樓,102/12/03,農產品零售業食品什貨、飲料零售業,2013,成都路,
天天送彩券行,潘國源,臺北市萬華區漢中街163號,102/12/04,食品什貨、飲料零售業4020公益彩券經銷業,2013,漢中街,
峨嵋綠茶店,張書瑋,臺北市萬華區峨眉街49號,102/12/12,制之業務飲料店業,2013,峨眉街,
兆鴻運動彩券行,林宏治,臺北市萬華區武昌街2段1號,102/12/13,寵物食品及其用品零售業8021運動彩券經銷業,2013,武昌街2段,
